# https://en.wikipedia.org/w/index.php?title=List_of_United_States_cities_by_population
2019 rank;Name;State;2019 estimate;Land area
;North Charleston;South Carolina;115382;190.9
254;Temecula;California;114761;96.6
255;Clovis;California;114584;62.7
256;Springfield;Illinois;114230;155.7
257;Meridian;Idaho;114161;77.2
258;Westminster;Colorado;113166;82.1
259;Costa Mesa;California;113003;40.7
260;High Point;North Carolina;112791;143.0
261;Manchester;New Hampshire;112673;85.7
262;Pueblo;Colorado;112361;138.8
263;Lakeland;Florida;112136;170.7
264;Pompano Beach;Florida;112118;62.2
265;West Palm Beach;Florida;111955;142.7
266;Antioch;California;111502;76.1
267;Everett;Washington;111475;86.2
268;Downey;California;111126;32.1
269;Lowell;Massachusetts;110997;35.2
270;Centennial;Colorado;110937;76.4
271;Elgin;Illinois;110849;96.9
272;Richmond;California;110567;78.0
273;Peoria;Illinois;110417;124.8
274;Broken Arrow;Oklahoma;110198;159.8
275;Miami Gardens;Florida;110001;47.1
276;Billings;Montana;109577;113.2
277;Jurupa Valley;California;109527;111.1
278;Sandy Springs;Georgia;109452;97.6
279;Gresham;Oregon;109381;60.3
280;Lewisville;Texas;109212;95.1
281;Hillsboro;Oregon;109128;64.7
282;Ventura;California;109106;56.5
283;Greeley;Colorado;108649;123.8
284;Inglewood;California;108151;23.6
285;Waterbury;Connecticut;107568;73.8
286;League City;Texas;107536;132.6
287;Santa Maria;California;107263;59.1
288;Tyler;Texas;106985;146.6
289;Davie;Florida;106306;90.4
290;Lakewood;New Jersey;106300;64.0
291;Daly City;California;106280;19.7
292;Boulder;Colorado;105673;64.2
293;Allen;Texas;105623;70.2
294;West Covina;California;105101;41.4
295;Sparks;Nevada;105006;93.0
296;Wichita Falls;Texas;104683;187.0
297;Green Bay;Wisconsin;104578;117.6
298;San Mateo;California;104430;31.3
299;Norwalk;California;103949;25.1
300;Rialto;California;103526;57.8
301;Las Cruces;New Mexico;103432;199.2
302;Chico;California;103301;86.2
303;El Cajon;California;102708;37.6
304;Burbank;California;102511;45.1
305;South Bend;Indiana;102026;107.2
306;Renton;Washington;101751;60.6
307;Vista;California;101638;48.4
308;Davenport;Iowa;101590;162.9
309;Edinburg;Texas;101170;97.4
310;Tuscaloosa;Alabama;101129;185.7
311;Carmel;Indiana;101068;123.0
312;Spokane Valley;Washington;101060;97.6
313;San Angelo;Texas;101004;155.1
314;Vacaville;California;100670;75.1
315;Clinton;Michigan;100471;72.8
316;Bend;Oregon;100421;85.7
317;Woodbridge;New Jersey;100145;60.3
